ticker,company_name,company_type,risk_free_rate,market_erp,beta_proxy,base_company_specific_risk,cost_of_equity_base,cost_of_debt_pre_tax,tax_rate,debt_weight,equity_weight,base_wacc,bear_wacc,bull_wacc,wacc_rationale
HEROMOTOCO.NS,Hero MotoCorp,Mature auto OEM,7.0%,5.5%,0.85,0.3%,12.0%,8.0%,25.0%,2.0%,98.0%,12.0%,14.0%,10.75%,Low leverage mature franchise but EV and competitive transition risk
FIEMIND.NS,Fiem Industries,Midcap auto ancillary,7.0%,5.5%,0.95,1.0%,13.25%,9.0%,25.0%,3.0%,97.0%,13.25%,15.5%,11.75%,Midcap OEM concentration auto cycle liquidity and EV transition risk
NATCOPHARM.NS,Natco Pharma,Special situation pharma,7.0%,5.5%,0.85,0.3%,12.0%,8.5%,25.0%,0.0%,100.0%,12.0%,14.0%,10.5%,Low leverage but product concentration regulatory and lumpy pipeline risk
NATIONALUM.NS,NALCO,Cyclical commodity PSU,7.0%,5.5%,0.90,0.6%,12.5%,8.5%,25.0%,0.0%,100.0%,12.5%,14.5%,11.5%,Low leverage PSU but aluminium and alumina cycle risk
HINDZINC.NS,Hindustan Zinc,High quality commodity,7.0%,5.5%,0.85,0.3%,12.0%,8.5%,25.0%,2.0%,98.0%,12.0%,14.0%,10.5%,Cost leadership but zinc silver cycle and dividend/debt policy risk
CHENNPETRO.NS,CPCL,Deep cyclical refiner,7.0%,5.5%,1.00,0.5%,13.0%,9.0%,25.0%,10.0%,90.0%,13.0%,15.0%,11.5%,Refining GRM volatility working capital and cyclicality despite IOC parentage
SHARDACROP.NS,Sharda Cropchem,Agrochemical recovery midcap,7.0%,5.5%,0.90,0.6%,12.5%,9.0%,25.0%,2.0%,98.0%,12.5%,14.5%,11.0%,Export agrochemical cycle working capital currency and registration risk
TIMETECHNO.NS,Time Technoplast,Midcap industrial growth,7.0%,5.5%,0.90,0.6%,12.5%,9.0%,25.0%,15.0%,85.0%,12.5%,14.5%,11.0%,Manufacturing working capital capex debt and composite-cylinder execution risk
FORCEMOT.NS,Force Motors,Cyclical auto growth,7.0%,5.5%,0.90,0.6%,12.5%,9.0%,25.0%,0.0%,100.0%,12.5%,14.5%,11.0%,Debt-free disclosure but cyclicality platform concentration and exceptional-item risk
TRITURBINE.NS,Triveni Turbine,Quality capital goods,7.0%,5.5%,0.85,0.3%,12.0%,8.5%,25.0%,0.0%,100.0%,12.0%,14.0%,10.5%,High quality but order-book export and capital-goods cycle risk
